Paul Verhoeven
Max Vierlinger
Egon Vogel
Rudolf Vogel
Georg Vogelsang
Rudolf Vones
Peter Voß
Fritz Wagner
Karl Wagner
Kurt Waitzmann
Ernst Waldow
Rolf Wanka
Oskar Wegrostek
Rolf Weih
Helmut Weiß
Heinz Welzel
Walter Werner
Max Wilmsen
Wastl Witt
Willi Witte
Erich Ziegel
Adolf Ziegler
Franz Zimmermann
Elke Aberle
Kathrin Ackermann
Dawn Addams
Kerstin de Ahna
Susanne von Almassy
Karin Andersen
Ingrid Andree
Elke Arendt
Karin Baal
Vivi Bach
Erica Balqué
Eva Bartok
Chariklia Baxevanos
Erica Beer
Heliane Bei
Birgit Bergen
Senta Berger
Christa Berndl
Sabine Bethmann
Anne-Marie Blanc
Hannelore Bollmann
Cornell Borchers
Grit Boettcher
Paula Braend
Heidi Brühl
Corny Collins
Ingeborg Cornelius
Susanne Cramer
Liane Croon
Monika Dahlberg
Germaine Damar
Renate Danz
Karin Dor
Ruth Drexel
Annemarie Düringer
Inge Egger
Lia Eibenschütz
Hannelore Elsner
Maria Emo
Renate Ewert
Gisela Fackeldey
Helga Feddersen
Violetta Ferrari
Agnes Fink
Kai Fischer
Veronika Fitz
Giulia Follina
Barbara Frey
Loni von Friedl
Lore Frisch
Cornelia Froboess
Wera Frydtberg
Zsa Zsa Gabor
Barbara Gallauner
Antje Geerk
Gudrun Genest
Claudia Gerstäcker
Gerty Godden
Elisabeth Goebel
Catja Görna
Christine Görner
Gardy Granass
Brigitte Grothum
Isa Günther
Jutta Günther
Anita Gutwell
Sibylle von Gymnich
Waltraut Haas
Erna Haffner
Carla Hagen
Ina Halley
Edith Hancke
Friedl Hardt
Beate Hasenau
Ruth Hausmeister
Edith Heerdegen
Nicole Heesters
Trude Herr
Karin Heske
Loni Heuser
Marianne Hold
Renate Holm
Christiane Hörbiger
Karin Hübner
Tatjana Iwanow
Ulla Jacobsson
Käte Jaenicke
Christiane Jansen
Gertraud Jesserer
Charlotte Joeres
Monika John
Bibi Johns
Gerda-Maria Jürgens
Ursula Justin
Anneliese Kaplan
Elma Karlowa
Christine Kaufmann
Lonny Kellner
Eva Kerbler
Alice Kessler
Ellen Kessler
Ruth Killer
Josefin Kipper
Doris Kirchner
Rose-Marie Kirstein
Else Knott
Johanna von Koczian
Ingeborg Körner
Eva Kotthaus
Cissy Kraner
Charlotte Kramm
Gertrud Kückelmann
Ilse Künkele
Elfriede Kuzmany
Mara Lane
Tilly Lauenstein
Lotte Ledl
Ruth Leuwerik
Ursula Lillig
Ursula Lingen
Gerlinde Locker
Marga Maasberg
Erni Mangold
Renate Mannhardt
Marie-Luise Marjan
Louise Martini
Johanna Matz
Christiane Maybach
Katharina Mayberg
Rosl Mayr
Angelika Meissner
Marisa Mell
Inge Meysel
Marion Michael
Edith Mill
Brigitte Mira
Bettina Moissi
Vera Molnar
Elisabeth Müller
Jester Naefe
Helga Neuner
Ruth Niehaus
Christiane Nielsen
Rita-Maria Nowotny
Margit Nünke
Ilse Pagé
Lilli Palmer
Ingrid Pan
Rita Paul
Monika Peitsch
Maria Perschy
Elfie Pertramer
Ina Peters
Petra Peters
Marina Petrowa
Eva Pflug
Eva Probst
Liselotte Pulver
Laya Raki
Nadja Regin
Erika Remberg
Hanna Rucker
Barbara Rütting
Margit Saad
Uta Sax
Maria Schell
Gisela Schmidting
Romy Schneider
Elsa Scholten
